run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
baseline_run1,baseline,2026/04/15-06:36:04.648265,2,3,4,1,3,,280063504,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.648323,2,3,3,1,2,,212162004,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.648459,2,3,4,1,3,,306899922,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.648593,2,3,5,1,4,,361773172,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.648620,2,3,5,1,4,,344995195,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.648626,2,3,4,1,3,,337584005,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.648759,2,3,5,1,4,,405102367,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649098,2,3,5,1,4,,405101602,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649104,2,3,6,1,5,,412987289,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649105,2,3,7,1,6,,484199208,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649112,2,3,5,1,4,,405101416,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649114,2,3,5,1,4,,405101232,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649115,2,3,6,1,5,,434326692,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649141,2,3,7,1,6,,454985137,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649152,2,3,6,1,5,,468542148,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649152,2,3,5,1,4,,405101531,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649169,2,3,6,1,5,,472616416,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649317,2,3,3,1,2,,174961918,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649321,2,3,7,1,6,,477337506,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.649330,2,3,8,1,7,,543587792,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.757089,1,2,2,1,1,,183193389,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.757092,0,1,4,4,0,,263105794,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:04.757095,1,2,2,1,1,,183745026,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.950682,2,3,2,1,1,,5052636,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.950799,2,3,3,1,2,,193104867,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.952419,2,3,3,1,2,,178665760,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.952437,2,3,9,1,8,,583070066,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.982716,2,3,2,1,1,,107787378,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.053980,2,3,3,1,2,,203279263,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.054114,2,3,3,1,2,,190193751,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.054124,2,3,4,1,3,,259941582,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.160408,2,3,2,1,1,,155354888,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:05.160479,2,3,3,1,2,,167287121,LevelMaxLevelSize
