system	arm	workload	process_start_utc	process_end_utc	measured_throughput_ops_s	reporter_sample_count	reporter_last_sec	qps_mean_0_60_sec	qps_mean_60_120_sec	qps_mean_120_180_sec	qps_mean_180_240_sec	qps_mean_240_300_sec	qps_mean_60_300_sec	qps_median_60_300_sec	qps_CV_pct_60_300_sec	one_sec_samples_below_90pct_own_steady_median	steady_samples
f2load	f08	D	2026-09-11T22:44:18.841850+00:00	2026-09-11T22:49:23.562972+00:00	2633056.0	300	300	2419214.8666666667	2730942.95	2673716.2	2682481.75	2660092.3333333335	2686808.308333333	2678942.0	1.5371675587868234	0	240
f2load	f09	D	2026-09-11T23:16:22.232405+00:00	2026-09-11T23:21:26.880773+00:00	2611562.0	300	300	2396047.283333333	2688847.433333333	2656763.8	2667636.85	2649675.25	2665730.8333333335	2662543.0	1.2990197659489184	0	240
f2load	f10	D	2026-09-11T23:48:28.294390+00:00	2026-09-11T23:53:32.950656+00:00	2731411.0	299	299	2586758.1	2822373.5	2787099.5	2756804.816666667	2705752.1016949154	2768267.9623430963	2769014	1.9723155502647503	0	239
baseline	b01	E	2026-09-10T20:02:41.098002+00:00	2026-09-10T20:07:45.794511+00:00	105414.0	300	300	96181.33333333333	108020.95	107670.65	107596.96666666666	107651.76666666666	107735.08333333333	107687.5	0.7585506560852041	0	240
baseline	b02	E	2026-09-10T20:44:29.068456+00:00	2026-09-10T20:49:33.589900+00:00	107067.0	300	300	97801.7	109670.16666666667	109291.63333333333	109322.21666666666	109292.48333333334	109394.125	109472.0	0.7704581471485876	0	240
baseline	b03	E	2026-09-10T21:26:29.585719+00:00	2026-09-10T21:31:34.268242+00:00	106714.0	300	300	97381.51666666666	109410.53333333334	109006.78333333334	108950.31666666667	108861.5	109057.28333333334	109074.0	0.9198085908952263	0	240
baseline	n01	E	2026-09-10T15:24:37.092366+00:00	2026-09-10T15:29:41.683218+00:00	106037.0	300	300	96728.9	108681.53333333334	108436.45	108313.93333333333	108066.85	108374.69166666667	108387.5	0.8993695885135813	0	240
baseline	n02	E	2026-09-10T16:06:31.794780+00:00	2026-09-10T16:11:36.435113+00:00	107057.0	300	300	97786.36666666667	109720.25	109274.88333333333	109458.93333333333	109101.76666666666	109388.95833333333	109394.5	0.8124423262177296	0	240
baseline	n03	E	2026-09-10T16:48:28.848375+00:00	2026-09-10T16:53:33.565587+00:00	106797.0	300	300	97231.43333333333	109466.41666666667	109062.78333333334	109097.15	109178.13333333333	109201.12083333333	109235.0	0.7976610533429414	0	240
baseline	n04	E	2026-09-10T22:09:19.860400+00:00	2026-09-10T22:14:24.507593+00:00	106682.0	300	300	97401.31666666667	109338.91666666667	108950.38333333333	108978.58333333333	108788.68333333333	109014.14166666666	109058.0	0.8605407980228639	0	240
baseline	r01	E	2026-09-10T17:56:36.388942+00:00	2026-09-10T18:01:41.034117+00:00	106573.0	300	300	97138.18333333333	109274.3	108978.71666666666	108899.23333333334	108623.21666666666	108943.86666666667	109032.0	0.894751613021777	0	240
baseline	r02	E	2026-09-10T18:38:59.370740+00:00	2026-09-10T18:44:04.015464+00:00	106856.0	300	300	97415.01666666666	109585.45	109178.91666666667	109143.03333333334	109005.43333333333	109228.20833333333	109228.5	0.8564099104897683	0	240
baseline	run3	E	2026-09-10T19:20:41.242217+00:00	2026-09-10T19:25:45.881418+00:00	106557.0	300	300	96858.43333333333	109141.05	108857.43333333333	108990.85	108977.83333333333	108991.79166666667	108987.0	0.7482612500025313	0	240
f2load	f01	E	2026-09-11T03:04:01.434824+00:00	2026-09-11T03:09:05.957200+00:00	103732.0	300	300	94597.3	106351.86666666667	106037.83333333333	105809.63333333333	105909.36666666667	106027.175	106049.0	0.8202400719033773	0	240
f2load	f02	E	2026-09-11T03:36:10.813144+00:00	2026-09-11T03:41:15.318247+00:00	105622.0	300	300	96283	108276.95	107936.21666666666	107837.25	107827.56666666667	107969.49583333333	107963.5	0.8165519414131317	0	240
f2load	f03	E	2026-09-11T04:08:21.991416+00:00	2026-09-11T04:13:26.443776+00:00	105963.0	300	300	96649.78333333334	108674.23333333334	108167.9	108159.18333333333	108219.05	108305.09166666666	108339.0	0.7954210981897423	0	240
f2load	f04	E	2026-09-11T04:40:46.210900+00:00	2026-09-11T04:45:50.670994+00:00	106747.0	300	300	97344.53333333334	109423.81666666667	108963.98333333334	109057.43333333333	108998.1	109110.83333333333	109097.5	0.7532190698551205	0	240
f2load	f05	E	2026-09-11T05:12:56.630900+00:00	2026-09-11T05:18:01.172417+00:00	105864.0	300	300	96601.43333333333	108454.05	108098.25	108089.93333333333	108119.56666666667	108190.45	108242.0	0.767931123358925	0	240
f2load	f06	E	2026-09-11T21:45:14.746671+00:00	2026-09-11T21:50:19.231065+00:00	107058.0	300	300	97632.48333333334	109655.8	109259.06666666667	109429.66666666667	109355.96666666666	109425.125	109431.0	0.7698429299777624	0	240
f2load	f07	E	2026-09-11T22:17:19.707833+00:00	2026-09-11T22:22:24.180750+00:00	106373.0	300	300	97173.85	109155.8	108720.75	108494.58333333333	108362.46666666666	108683.4	108748.5	0.9365527301959852	0	240
f2load	f08	E	2026-09-11T22:49:25.274769+00:00	2026-09-11T22:54:29.801369+00:00	106195.0	300	300	96549.65	108909.78333333334	108596.88333333333	108603.81666666667	108363.73333333334	108618.55416666667	108617.5	0.8828775309449203	0	240
f2load	f09	E	2026-09-11T23:21:28.563084+00:00	2026-09-11T23:26:33.078626+00:00	105954.0	300	300	96630.23333333334	108619.76666666666	108202.91666666667	108194.31666666667	108166.41666666667	108295.85416666667	108260.0	0.8584074638949427	0	240
f2load	f10	E	2026-09-11T23:53:34.670287+00:00	2026-09-11T23:58:39.185433+00:00	106840.0	300	300	97605.83333333333	109485.15	109115.91666666667	109126.13333333333	108924.46666666666	109162.91666666667	109179.0	0.8024677155726608	0	240
baseline	b01	F	2026-09-10T20:07:47.464348+00:00	2026-09-10T20:12:52.323341+00:00	600723.0	299	299	567900.8	604048.25	609655.0833333334	609941.2833333333	612506.8305084746	609023.3472803347	613338	7.880137516236258	27	239
baseline	b02	F	2026-09-10T20:49:35.239958+00:00	2026-09-10T20:54:40.074716+00:00	603846.0	300	300	568757.3	610423.9833333333	621678.8666666667	614519.9	604071.6833333333	612673.6083333333	616961.5	7.6217675640619875	25	240
baseline	b03	F	2026-09-10T21:31:35.932920+00:00	2026-09-10T21:36:40.724370+00:00	601894.0	300	300	571396.4833333333	607124.35	613447.7666666667	604133.8666666667	613633.5666666667	609584.8875	613441.5	7.504085880976957	24	240
baseline	n01	F	2026-09-10T15:29:43.370427+00:00	2026-09-10T15:34:48.113585+00:00	607633.0	300	300	566412.8	620121.3333333334	619143.7833333333	615506.6	617199.2666666667	617992.7458333333	621839.5	7.010003721018249	22	240
baseline	n02	F	2026-09-10T16:11:38.104202+00:00	2026-09-10T16:16:42.943383+00:00	603694.0	300	300	587585.8166666667	615217.1333333333	605471.7333333333	595086.1333333333	615330.6666666666	607776.4166666666	608730.0	7.495307429945923	21	240
baseline	n03	F	2026-09-10T16:53:35.222566+00:00	2026-09-10T16:58:40.013312+00:00	607068.0	300	300	566064.95	623657.55	614223.8166666667	625807.3	605901.4166666666	617397.5208333334	618875.5	7.583100702396928	16	240
baseline	n04	F	2026-09-10T22:14:26.158997+00:00	2026-09-10T22:19:30.836414+00:00	610443.0	300	300	584388.0333333333	622739.8833333333	614361.3666666667	609037.5833333334	621979.4	617029.5583333333	621662.0	7.381993888048187	24	240
