run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
vcomp_run1,vcomp,2026/04/14-17:10:24.919178,2,3,4,,,4,252984,
vcomp_run1,vcomp,2026/04/14-17:10:24.919499,2,3,4,,,5,319421,
vcomp_run1,vcomp,2026/04/14-17:10:24.922935,0,1,7,,,8,479166,
vcomp_run1,vcomp,2026/04/14-17:10:24.923373,1,2,2,,,2,160088,
vcomp_run1,vcomp,2026/04/14-17:10:24.923643,1,2,4,,,4,275571,
vcomp_run1,vcomp,2026/04/14-17:10:24.923928,1,2,5,,,5,418982,
vcomp_run1,vcomp,2026/04/14-17:10:24.924279,1,2,11,,,11,754181,
vcomp_run1,vcomp,2026/04/14-17:10:24.925043,2,3,5,,,6,381417,
vcomp_run1,vcomp,2026/04/14-17:10:24.925491,2,3,4,,,4,212801,
vcomp_run1,vcomp,2026/04/14-17:10:24.928942,0,1,8,,,9,493038,
vcomp_run1,vcomp,2026/04/14-17:10:24.929557,1,2,5,,,4,357022,
vcomp_run1,vcomp,2026/04/14-17:10:24.929945,1,2,3,,,3,293156,
vcomp_run1,vcomp,2026/04/14-17:10:24.929960,1,2,6,,,5,447571,
vcomp_run1,vcomp,2026/04/14-17:10:24.929992,1,2,7,,,7,479826,
vcomp_run1,vcomp,2026/04/14-17:10:24.930507,2,3,2,,,2,124309,
vcomp_run1,vcomp,2026/04/14-17:10:24.930897,2,3,3,,,3,164736,
vcomp_run1,vcomp,2026/04/14-17:10:24.931285,2,3,3,,,3,133445,
vcomp_run1,vcomp,2026/04/14-17:10:24.931651,2,3,3,,,3,149500,
vcomp_run1,vcomp,2026/04/14-17:10:24.934994,0,1,9,,,8,505629,
vcomp_run1,vcomp,2026/04/14-17:10:24.935488,1,2,4,,,4,222203,
vcomp_run1,vcomp,2026/04/14-17:10:24.935827,1,2,3,,,4,291402,
vcomp_run1,vcomp,2026/04/14-17:10:24.935845,1,2,3,,,3,253070,
vcomp_run1,vcomp,2026/04/14-17:10:24.936189,1,2,5,,,6,441492,
vcomp_run1,vcomp,2026/04/14-17:10:24.936753,2,3,4,,,4,239771,
vcomp_run1,vcomp,2026/04/14-17:10:24.937219,2,3,2,,,4,226699,
vcomp_run1,vcomp,2026/04/14-17:10:24.937740,2,3,3,,,5,276021,
vcomp_run1,vcomp,2026/04/14-17:10:24.941077,0,1,8,,,9,523073,
vcomp_run1,vcomp,2026/04/14-17:10:24.941459,1,2,4,,,2,142402,
