campaign	cell	workload	distribution	mode	point	ops_per_sec	micros_per_op	filter_per_lookup	filter_probes	positive_lookup_pct	gets	found_keys	bloom_useful	bloom_full_positive	bloom_true_positive	filter_block_miss	filter_block_hit	p50_us	p99_us	p999_us	sst_read_count	compact_write_GB	run_seconds	drain_seconds	total_seconds_incl_drain	elapsed_sec	fixed_ops	copy_mode	dropped_caches	cache_GiB	num_keys	source_ssts	source_db	finished_at
eval_20260912_ycsb_af	E2-4T_baseline__workloadd	workloadd		baseline	E2-4T	2585993	18.561	0.963	709722825	83.85	737054949	618006740	436835615	272887210	268635500	49138	709674355	51.17	109.33	232.91	109362340	0.50				308.0				50	4294967296	47740	/work/vcomp/exp/eval_20260909_night1/E2-4T_baseline	2026-09-11T22:42:20.856247+00:00
eval_20260912_ycsb_af	E2-4T_baseline__workloade	workloade		baseline	E2-4T	107477	446.597						0	0	0	26	0	84.90	704.70	826.00	114713612	0.00				307.9				50	4294967296	47740	/work/vcomp/exp/eval_20260909_night1/E2-4T_baseline	2026-09-11T22:47:31.333677+00:00
eval_20260912_ycsb_af	E2-4T_baseline__workloadf	workloadf		baseline	E2-4T	485702	98.821	6.758	984760083	85.40	145726140	124451840	904739791	80020292	71211530	61303	984712115	73.95	505.80	852.47	62850189	759.59				308.4				50	4294967296	47740	/work/vcomp/exp/eval_20260909_night1/E2-4T_baseline	2026-09-11T22:52:42.326415+00:00
eval_20260912_ycsb_af	E3-u25_baseline__workloada	workloada		baseline	E3-u25	678290	70.764	9.077	923574529	72.94	101746007	74218079	877168398	46406131	37855880	16943	923569626	73.29	459.98	794.54	32965704	680.19				303.9				50	1048576000	4874	/work/vcomp/exp/eval_20260909_night1/E3-u25_baseline	2026-09-11T21:56:16.485615+00:00
eval_20260912_ycsb_af	E3-u25_baseline__workloadb	workloadb		baseline	E3-u25	1143085	41.988	3.971	1293793528	66.72	325829494	217406908	1171639916	122153612	110756036	7859	1293788630	64.38	163.35	525.10	39793950	162.22				303.9				50	1048576000	4874	/work/vcomp/exp/eval_20260909_night1/E3-u25_baseline	2026-09-11T22:01:20.602074+00:00
eval_20260912_ycsb_af	E3-u25_baseline__workloadc	workloadc		baseline	E3-u25	3186181	15.065	2.550	2437559740	24.07	955929889	230050235	2190890722	246669018	230050235	4904	2437554836	73.48	165.81	245.69	68366125	0.00				304.2				50	1048576000	4874	/work/vcomp/exp/eval_20260909_night1/E3-u25_baseline	2026-09-11T22:06:25.064057+00:00
eval_20260912_ycsb_af	E3-u25_baseline__workloadd	workloadd		baseline	E3-u25	4196075	11.439	0.778	930777404	85.48	1196010254	1022340189	507257826	423519578	418582153	5947	930772508	44.39	108.97	181.16	80762814	0.63				304.4				50	1048576000	4874	/work/vcomp/exp/eval_20260909_night1/E3-u25_baseline	2026-09-11T22:11:29.631232+00:00
eval_20260912_ycsb_af	E3-u25_baseline__workloade	workloade		baseline	E3-u25	129260	371.329						0	0	0	34	0	73.33	499.00	817.51	109291597	0.13				304.4				50	1048576000	4874	/work/vcomp/exp/eval_20260909_night1/E3-u25_baseline	2026-09-11T22:16:34.248373+00:00
eval_20260912_ycsb_af	E3-u25_baseline__workloadf	workloadf		baseline	E3-u25	618146	77.651	7.979	1479710013	72.60	185453532	134644814	1396174194	83535819	69928995	17061	1479705103	74.99	490.71	782.57	54401278	678.24				304.1				50	1048576000	4874	/work/vcomp/exp/eval_20260909_night1/E3-u25_baseline	2026-09-11T22:21:38.544317+00:00
eval_20260912_ycsb_af	E4-64m4_baseline__workloada	workloada		baseline	E4-64m4	747409	64.219	9.750	1093156889	86.90	112118939	97436569	1025933233	67223656	57226953	18072	1093145842	71.03	375.24	761.07	51179854	446.72				304.1				50	1048576000	11013	/work/vcomp/exp/eval_20260909_night1/E4-64m4_baseline	2026-09-11T22:57:47.165459+00:00
