system	bitmap	workload	arm	operations	throughput_ops_sec	filter_checks_per_lookup	positive_lookup_pct	compaction_write_per_op
F2Load PLR	off	mixgraph	g04	181217330.0	603988.0	4.17756	82.8733	106.8732
F2Load PLR	off	mixgraph	g05	183748980.0	612415.0	3.98783	82.6377	101.1206
F2Load PLR	off	mixgraph	g06	180372927.0	601156.0	4.04445	82.8526	91.1296
F2Load PLR	off	mixgraph	g07	182238146.0	607375.0	4.03071	82.826	103.2418
F2Load PLR	off	mixgraph	g08	181475383.0	604831.0	4.20613	82.7127	108.7081
F2Load PLR	off	mixgraph	g09	178982293.0	596509.0	4.053	82.8872	103.9671
F2Load PLR	off	mixgraph	g10	181246364.0	604077.0	3.9799	82.8235	98.4451
F2Load exact membership	on	mixgraph	h01	182431819.0	608029.0	4.04201	79.0022	110.0206
F2Load exact membership	on	mixgraph	h02	179756482.0	599119.0	4.14524	78.9229	114.3559
F2Load exact membership	on	mixgraph	h03	178870495.0	596157.0	4.05089	78.9011	105.0699
F2Load exact membership	on	mixgraph	h04	180962431.0	603114.0	4.05323	78.988	105.8572
F2Load exact membership	on	mixgraph	h05	182646535.0	608720.0	3.91897	79.0425	100.3358
F2Load exact membership	on	mixgraph	h06	180213880.0	600612.0	4.14119	78.9341	109.4001
F2Load exact membership	on	mixgraph	h07	182871947.0	609478.0	3.88567	79.0515	103.8661
F2Load exact membership	on	mixgraph	h08	181115579.0	603635.0	3.99786	78.9814	122.3772
F2Load exact membership	on	mixgraph	h09	179055618.0	596786.0	4.10844	78.8975	100.4347
F2Load exact membership	on	mixgraph	h10	183801798.0	612588.0	3.9206	79.0842	106.7357
