job	plr_error	output_level	plr_segments	actual_output_files	predicted_output_files	output_file_delta	actual_entries	predicted_entries	entry_error_pct	rank_ks	rank_count_sup	boundary_mass_error
1486	8	2	931	2	2	0	89877	89746	-0.14575475371897148	0.003328695015653264	0.0036716846356687474	0.0019192896959177542
1487	8	2	1219	2	2	0	120178	120433	0.2121852585331758	0.0012865577379515484	0.0023298773485995773	0.0010567657974005227
1488	8	2	1951	3	3	0	189818	190185	0.19334309707193206	0.001292263266494246	0.003218872815012275	0.0006392087859598844
1489	8	2	1127	2	2	0	111015	111249	0.2107823267126064	0.0013704749195870948	0.0030176102328514165	0.0010358960500833222
1490	8	2	351	1	1	0	32833	32858	0.07614290500411172	0.0035015938620889583	0.0033807449821825603	0.0007614290500411172
1491	8	2	1253	2	3	1	123792	123343	-0.3627051828874241	0.017721795394402457	0.01784444875274654	0.0023870686312524236
1492	8	2	3842	4	4	0	369875	369109	-0.20709699222710376	0.0046993711044054885	0.0045042244001351804	0.0015674214261574854
1502	8	0	2779	1	1	0	258286	258157	-0.04994463501699666	0.0007323536819321588	0.00082466722935041	0.0004994463501699667
1503	8	2	3867	4	4	0	372419	372256	-0.04376790657834321	0.004232800372870224	0.003914945263265301	0.002215246805345592
1519	8	0	2709	1	1	0	258286	258313	0.010453528259371394	0.0009577205129388937	0.0009214591576779229	0.00010453528259371395
1532	8	3	1675	3	3	0	162453	162341	-0.0689430173650225	0.003109450816725735	0.003139369540728703	0.0009787446215213016
1533	8	3	1081	2	2	0	106080	106012	-0.0641025641025641	0.0018002255671104481	0.002253016591251885	0.0010652337858220212
1535	8	3	1111	2	2	0	111586	111432	-0.13801014464180095	0.014255452767775975	0.01414155897693259	0.001026114387109494
1536	8	3	961	2	2	0	95276	95305	0.03043788572148285	0.0024155736365806322	0.0025924681976573325	0.0008081783450186826
1537	8	3	1719	3	3	0	162202	162794	0.36497700398268823	0.0014157621882387385	0.004457404964180466	0.0012145349625775268
1539	8	3	1675	3	3	0	158597	159025	0.26986639091533887	0.0011787943028972482	0.003259834675309117	0.0010340674792083079
1540	8	3	965	2	2	0	94835	94815	-0.02108926029419518	0.0017493687658707618	0.001729319344124005	0.00034797279485422047
1542	8	3	2036	4	3	-1	195919	196528	0.3108427462369653	0.001030239320437658	0.003547384378237945	0.0007745547905001557
1543	8	3	1039	2	2	0	105677	105545	-0.12490892057874467	0.001775785824762619	0.002734748336913425	0.0006529329939343471
1548	8	0	2689	1	1	0	258282	258310	0.010840863861980316	0.0008744902261415251	0.0008246800009292169	0.00010840863861980317
1552	8	3	1207	2	2	0	114107	114326	0.191925122910952	0.0012837794933711854	0.0020945253139597044	0.0009552437624335054
1553	8	3	1109	2	2	0	106026	105845	-0.17071284401939146	0.002261060684930607	0.002820063003414257	0.0008865749910399336
1554	8	3	1065	2	2	0	105707	105699	-0.007568089152090212	0.0018042829965704652	0.0018352616193818762	0.0004020547362047925
1555	8	3	1835	3	3	0	179581	179348	-0.12974646538330892	0.001340847974349341	0.0017596516335247048	0.0006199616514738939
