system	arm	workload	operations	throughput_ops_sec	filter_checks_per_lookup	positive_lookup_pct	compaction_write_per_op
F2Load exact membership	e08	D	810615258	2701753.0	0.9394	92.062	
F2Load exact membership	e09	D	808678424	2695369.0	0.955	92.067	
F2Load exact membership	e10	D	794666194	2648670.0	1.0323	92.032	
baseline	b01	E	31627456	105414.0			
baseline	b02	E	32122695	107067.0			
baseline	b03	E	32016641	106714.0			
baseline	n01	E	31813670	106037.0			
baseline	n02	E	32120692	107057.0			
baseline	n03	E	32042260	106797.0			
baseline	n04	E	32007520	106682.0			
baseline	r01	E	31974851	106573.0			
baseline	r02	E	32059713	106856.0			
baseline	run3	E	31969538	106557.0			
F2Load PLR	f01	E	31122429	103732.0			
F2Load PLR	f02	E	31689781	105622.0			
F2Load PLR	f03	E	31792536	105963.0			
F2Load PLR	f04	E	32027543	106747.0			
F2Load PLR	f05	E	31761800	105864.0			
F2Load PLR	f06	E	32119981	107058.0			
F2Load PLR	f07	E	31914453	106373.0			
F2Load PLR	f08	E	31861491	106195.0			
F2Load PLR	f09	E	31788840	105954.0			
F2Load PLR	f10	E	32055698	106840.0			
F2Load PLR	f11	E	31734059	105768.0			
F2Load PLR	f12	E	32080666	106925.0			
F2Load PLR	f13	E	31649175	105488.0			
F2Load PLR	f14	E	31812807	106035.0			
F2Load PLR	f15	E	31904859	106340.0			
F2Load exact membership	e01	E	31547666	105149.0			
F2Load exact membership	e02	E	31184626	103940.0			
F2Load exact membership	e03	E	31496522	104977.0			
F2Load exact membership	e04	E	31339972	104453.0			
F2Load exact membership	e05	E	31342389	104466.0			
F2Load exact membership	e06	E	31636572	105447.0			
F2Load exact membership	e07	E	31470977	104890.0			
F2Load exact membership	e08	E	31577453	105248.0			
F2Load exact membership	e09	E	31592362	105298.0			
F2Load exact membership	e10	E	31540540	105126.0			
baseline	b01	F	180228954	600723.0	6.9936	86.509	4192.4
baseline	b02	F	181167125	603846.0	7.0388	86.518	4193.7
baseline	b03	F	180586211	601894.0	7.1972	86.512	4170.4
baseline	n01	F	182303027	607633.0	7.0259	86.529	4213.6
baseline	n02	F	181121530	603694.0	6.9531	86.517	4212.5
baseline	n03	F	182141082	607068.0	6.9767	86.527	4221.9
baseline	n04	F	183151960	610443.0	7.1214	86.537	4150.3
baseline	r01	F	181378015	604523.0	7.244	86.52	4137.0
baseline	r02	F	179934627	599723.0	7.0866	86.506	4143.8
baseline	run3	F	181950739	606455.0	6.9691	86.525	4172.6
F2Load PLR	f01	F	180582364	601883.0	6.91	86.489	4268.2
F2Load PLR	f02	F	178982587	596538.0	7.3708	86.468	4189.7
F2Load PLR	f03	F	179777379	599211.0	7.109	86.472	4230.8
F2Load PLR	f04	F	179447271	598098.0	7.2827	86.48	4169.8
F2Load PLR	f05	F	178338496	594417.0	6.9275	86.464	4276.7
F2Load PLR	f06	F	180306180	600962.0	6.8471	86.496	4255.6
F2Load PLR	f07	F	179357720	597808.0	6.8929	86.484	4285.8
F2Load PLR	f08	F	179034357	596718.0	6.7965	86.496	4295.3
F2Load PLR	f09	F	182014945	606675.0	6.9649	86.492	4240.3
F2Load PLR	f10	F	179258801	597476.0	7.0109	86.481	4223.4
F2Load PLR	f11	F	180295867	600932.0	6.7742	86.492	4342.2
F2Load PLR	f12	F	179391307	597920.0	6.8519	86.49	4289.4
F2Load PLR	f13	F	179936994	599721.0	7.0319	86.481	4251.1
F2Load PLR	f14	F	180604298	601958.0	7.0396	86.501	4258.7
F2Load PLR	f15	F	180935892	603061.0	7.1215	86.506	4210.5
F2Load exact membership	e01	F	178950017	596456.0	6.9391	86.383	4323.0
F2Load exact membership	e02	F	178790411	595920.0	7.0354	86.378	4314.7
F2Load exact membership	e03	F	178227869	594039.0	6.9982	86.378	4307.0
F2Load exact membership	e04	F	179591454	598586.0	7.0747	86.384	4300.6
F2Load exact membership	e05	F	179290096	597591.0	7.2529	86.38	4204.5
F2Load exact membership	e06	F	178355281	594461.0	6.9272	86.374	4343.2
F2Load exact membership	e07	F	178473103	594868.0	6.9508	86.384	4329.4
F2Load exact membership	e08	F	178440289	594759.0	7.0474	86.366	4344.4
F2Load exact membership	e09	F	177952529	593118.0	6.9599	86.386	4328.8
